config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
1,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.61,2.55,0.00095,21,011000010010011001110
1,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.7,2.66,0.00076,21,000101011100000001110
1,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.19,2.22,0.00077,21,101110001000001110000
1,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.58,2.51,0.00077,21,010100010110101000000
1,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.29,2.27,0.00089,21,011001011100101001011
2,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.49,2.44,0.0044,21,101001001100110011100
2,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.59,2.53,0.00463,21,000101010001001001110
2,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.64,2.59,0.00433,21,001100101111001111100
2,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.66,2.61,0.00439,21,000001100010011111100
2,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.21,2.18,0.00417,21,000111111000000000101
3,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03763,21,010101010100100000000
3,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03623,21,010101100100100110000
3,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03577,21,001001100100001101100
3,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03597,21,000001000111001101000
3,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.7,2.66,0.03676,21,000101000110010110110
4,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07407,21,000001010100010011100
4,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07329,21,001101110100110000100
4,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07156,21,000101010110110100100
4,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07314,21,010101101100010100100
4,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.0739,21,010001100101100011100
5,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.5}",2.16,2.19,0.00168,21,001011001101010101000
5,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.5}",2.66,2.61,0.0017,21,000001111011010111100
5,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.5}",2.24,2.24,0.00173,21,010101011101001100001
5,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.5}",2.59,2.53,0.00166,21,010101001010000100110
5,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.5}",2.26,2.29,0.00166,21,101010011110011011101
6,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.9}",2.72,2.68,0.00859,21,001101010100010101100
6,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.9}",2.64,2.59,0.00848,21,010100110000100111000
6,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.9}",2.61,2.55,0.00854,21,010001110100101010100
6,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.9}",2.64,2.59,0.00851,21,011101011010100001000
6,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.9}",2.68,2.64,0.00858,21,011000100101010111100
7,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.99}",2.72,2.68,0.08507,21,001001000100001011000
7,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.99}",2.72,2.68,0.08558,21,001101111100010110100
7,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.99}",2.72,2.68,0.08546,21,011101110100010111100
7,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.99}",2.72,2.68,0.08537,21,000001001111000011100
7,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.99}",2.72,2.68,0.08593,21,000101000110100110100
8,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.16863,21,001101101100110101100
8,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.16849,21,001101000100010111100
8,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.16901,21,000101110110100110000
8,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.17051,21,001101111100100011000
8,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.16882,21,000001101111101101000
9,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.63,2.58,0.00225,21,011101000101101110010
9,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.72,2.68,0.0023,21,011001001100001111000
9,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.53,2.46,0.0022,21,001000011111101100010
9,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.62,2.57,0.00227,21,000100101000011010100
9,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.26,2.21,0.0023,21,111000010101101010100
10,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.72,2.68,0.0119,21,001101000110000010000
