config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
1,genetic,0,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",2.68,2.64,0.00041,21,11001000110000001110
1,genetic,1,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",2.12,2.09,0.0004,21,10111011001001011111
1,genetic,2,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",1.72,1.65,0.00039,21,100101100001100001011
1,genetic,3,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",1.95,1.86,0.00037,21,110100101010011000110
1,genetic,4,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",1.82,1.88,0.00038,21,1110010111010111
2,genetic,0,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.65,1.74,0.00075,21,110101101000101111011
2,genetic,1,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.75,1.74,0.00074,21,10010100111110100110
2,genetic,2,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.52,1.59,0.00072,21,110001101001100000110
2,genetic,3,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.96,2.1,0.00072,21,111011000011101010100
2,genetic,4,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.88,1.74,0.00072,21,1011111001011000000
3,genetic,0,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",2.05,2.11,0.0016,21,100110011010111100111
3,genetic,1,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",2.34,2.31,0.0015,21,111100001110011011110
3,genetic,2,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",2.44,2.36,0.00137,21,11101100011100001000
3,genetic,3,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",2.59,2.53,0.00142,21,1100000101011010000
3,genetic,4,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",1.69,1.76,0.00139,21,111111010110100001
4,genetic,0,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",2.23,2.37,0.0028,21,1111011011000010000
4,genetic,1,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.96,1.92,0.00278,21,111000111000101011001
4,genetic,2,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.86,1.87,0.00274,21,111000100000011100110
4,genetic,3,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.93,1.92,0.00254,21,1010010101001100100
4,genetic,4,"{'pop_size': 1, 'numIterations': 40, 'percentForCrossover': 1.0}",1.92,1.94,0.0026,21,110110110110100110
5,genetic,0,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.57,2.51,0.00498,21,1000010001001011110
5,genetic,1,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.01,2.1,0.00494,21,11101000111101100001
5,genetic,2,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",1.84,1.84,0.0049,21,10010110111101100011
5,genetic,3,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.61,2.55,0.00452,21,1100100000010000
5,genetic,4,"{'pop_size': 1, 'numIterations': 80, 'percentForCrossover': 1.0}",2.17,2.19,0.00464,21,10000100010100001
6,genetic,0,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.14,2.11,0.00059,21,10111100110001011
6,genetic,1,"{'pop_size': 2, 'numIterations': 5, 'percentForCrossover': 1.0}",2.14,2.14,0.00058,21,101011001101111010111
