config_id,method,trial,params,fitness,tournament_score,head_to_head_score,runtime,memory,bit_string
1,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.15}",355,"[524, 690, 684, 716, 722, 684, 562, 710]",539.23,0.00291,21,10001010110010001010
1,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",564.01,0.00283,21,11101011100100110000
1,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",563.13,0.00278,21,11101101100010011100
1,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",573.04,0.00255,21,10001101110110001000
1,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",558.99,0.00253,21,1001001111000001000
2,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",550.2,0.00419,21,11001111110011011100
2,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",595.69,0.00427,21,1101110110110110000
2,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",568.47,0.00421,21,11101001110000101000
2,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",583.57,0.00414,21,1001011110101101000
2,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",570.75,0.00422,21,11101100110010111100
3,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",577.67,0.00554,21,1001010100100001000
3,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",581.08,0.00546,21,101110110110100000
3,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",564.96,0.0056,21,101001100000010000
3,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",567.78,0.00559,21,11001000101011111100
3,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",566.61,0.00553,21,11001100100010101000
4,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",588.91,0.00658,21,1000111100001100
4,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",561.91,0.00663,21,101111110110010000
4,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",612.3,0.00649,21,11001000110110111000
4,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",589.87,0.00652,21,1001100100011111000
4,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",586.24,0.00649,21,10101011100010010000
5,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",552.94,0.00739,21,1001111111110111100
5,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",577.91,0.00751,21,1001100101011001000
