config_id,method,trial,params,fitness,tournament_score,head_to_head_score,runtime,memory,bit_string
1,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.15}",214,"[288, 414, 404, 428, 430, 404, 320, 428]",332.23,0.00321,21,1101011110011010010
1,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.15}",211,"[328, 414, 404, 428, 430, 404, 334, 422]",335.09,0.00283,21,1001011001110111000
1,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",340.86,0.00268,21,1001011111110001100
1,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.15}",213,"[312, 414, 404, 428, 430, 404, 334, 426]",313.76,0.00262,21,10101011101000
1,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.15}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",343.58,0.00248,21,10101000110010001100
2,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",335.89,0.00412,21,1100100100001000
2,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",329.81,0.00411,21,11001111110000111000
2,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",329.81,0.00412,21,11001100111011001100
2,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",334.76,0.00415,21,10001111100011011100
2,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.2}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",356.73,0.00411,21,10101101110100110100
3,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.25}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",345.95,0.00554,21,10101000100000100000
3,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.25}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",350.3,0.00567,21,1101011100010110100
3,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",341.6,0.00582,21,1001000110010001000
3,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.25}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",348.84,0.00566,21,11101100100010011100
3,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",325.89,0.00578,21,11001110111100011100
4,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.3}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",342.89,0.00674,21,101010110010000000
4,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",333.59,0.00661,21,10001111111100111100
4,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",315.51,0.0067,21,1001110100101011000
4,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.3}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",347.9,0.00667,21,11101101110100101100
4,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.3}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",331.25,0.00647,21,10101010110100111000
5,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",345.11,0.0074,21,10001100110010111100
5,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",336.09,0.00735,21,11001001100000101100
5,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",326.89,0.0074,21,10001010101111111100
5,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",334.04,0.00732,21,10101100110010001100
5,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",342.52,0.00735,21,10101000100100100100
6,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.4}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",341.1,0.00815,21,10101010100010000100
6,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.4}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",349.66,0.0085,21,1101101100000110100
6,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",337.01,0.00834,21,10001000100101001100
6,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",341.86,0.0082,21,10001101100001111000
6,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",344.28,0.00851,21,10001100111010111000
7,simulated_annealing,0,"{'numRestarts': 1, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",335.18,0.00897,21,11001011100111011100
7,simulated_annealing,1,"{'numRestarts': 1, 'temperature': 0.45}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",339.49,0.00913,21,1101010110000010000
7,simulated_annealing,2,"{'numRestarts': 1, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",348.44,0.00913,21,1001110100101111100
7,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",341.72,0.00904,21,1001100101111001100
7,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",330.16,0.00894,21,11001001110010011100
8,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.15}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",348.39,0.00495,21,1101010100110011000
8,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.15}",214,"[288, 414, 404, 428, 430, 404, 320, 428]",317.09,0.005,21,10101001100111110000
8,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.15}",214,"[288, 414, 404, 428, 430, 404, 320, 428]",319.84,0.00493,21,11101000100111110000
8,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",324.26,0.00494,21,11001111110001101000
8,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.15}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",338.41,0.00496,21,101101100010111100
9,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",333.95,0.0085,21,11001101100111011100
9,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",341.29,0.00835,21,11001010111100111000
9,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",361.66,0.00823,21,10001111111001011000
9,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.2}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",357.16,0.00834,21,10101001110000001000
9,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",336.86,0.00831,21,11001111101100011000
10,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",339.04,0.01108,21,1001110101100101100
10,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",359.36,0.0112,21,10001010100110011100
10,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",340.76,0.01112,21,10001110111000011000
10,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.25}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",332.82,0.01092,21,10101001110110110000
10,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",345.11,0.01109,21,10001011111011101100
11,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",343.91,0.01318,21,1001010110111001000
11,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",341.2,0.01311,21,1000110111111000
11,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",354.23,0.01316,21,10001011100001001000
11,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",330.49,0.01319,21,11001001100001011000
11,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",336.62,0.01308,21,1001001110110011000
12,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",335.41,0.01483,21,1101000100000010000
12,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",350.97,0.01515,21,101010110010001000
12,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",350.86,0.01477,21,1001101100111001100
12,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",329.81,0.01515,21,11101111110000011000
12,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",347.0,0.0149,21,1101101110001100
13,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.4}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",330.89,0.01668,21,10101011110110011100
13,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",352.29,0.01653,21,11001110101110001000
13,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.4}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",345.86,0.01645,21,11101011100000110100
13,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",340.34,0.01663,21,1001000111100101000
13,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",348.26,0.01678,21,10001000101001011000
14,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",332.38,0.01771,21,11001100101001011000
14,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.45}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",347.21,0.0194,21,11101001100110000100
14,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",352.99,0.01807,21,1011111010111100
14,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.45}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",346.34,0.01804,21,101110100010001000
14,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.45}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",319.86,0.01796,21,1010110111111000
15,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",335.69,0.00736,21,10001101101010011100
15,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",339.59,0.00747,21,10001001111011011100
15,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",324.94,0.00739,21,10001010100001011100
15,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.15}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",343.91,0.00729,21,10001001111101111000
15,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.15}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",339.83,0.00745,21,11101000110100000100
16,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",338.28,0.0123,21,1001101101000111100
16,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",331.29,0.01241,21,11001000110111011100
16,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",350.83,0.01217,21,10001110110000001100
16,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.2}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",354.75,0.01229,21,1101010100110011100
16,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.2}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",334.89,0.0123,21,11001100100011011100
17,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",346.96,0.01638,21,1001000111111111000
17,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",358.07,0.01618,21,11001111111111011000
17,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",320.46,0.01611,21,11001001100011011000
17,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.25}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",345.47,0.01618,21,11101111100010111000
17,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.25}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",337.14,0.01619,21,11001000100000011100
18,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",339.09,0.01942,21,10001100100000101000
18,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",330.32,0.01948,21,11001010100000001100
18,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.3}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",355.56,0.01947,21,101010110000111000
18,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.3}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",324.56,0.0195,21,1101010100100110100
18,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.3}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",360.26,0.0194,21,11001010101100101100
19,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",333.57,0.02224,21,11101111110000010100
19,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",332.79,0.02194,21,101011110110111000
19,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",334.93,0.02183,21,10001100101000111000
19,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.35}",215,"[288, 414, 404, 428, 430, 404, 332, 430]",340.65,0.02243,21,101100100100011000
19,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.35}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",342.41,0.0219,21,1000110000001000
20,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",337.21,0.02421,21,1001010100011101100
20,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.4}",215,"[296, 414, 404, 428, 430, 404, 334, 430]",338.06,0.02432,21,10001001100110011100
