config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
1,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.7,2.66,0.00096,21,010101101100010101010
1,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.62,2.57,0.00093,21,011101010101110111100
1,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.39,2.34,0.00092,21,100000101001000010100
1,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.68,2.64,0.00088,21,000101100110001100110
1,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.5}",2.68,2.64,0.00089,21,011101001110111011110
2,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.59,2.53,0.00534,21,000100111011000001110
2,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.68,2.64,0.00496,21,011101111110101001100
2,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.61,2.55,0.00484,21,000000111010110000000
2,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.64,2.59,0.00477,21,001100001100111010000
2,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.9}",2.72,2.68,0.00456,21,011001111110111011100
3,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03972,21,011001011110101101100
3,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03608,21,001101001110000111100
3,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03584,21,001101110110010011100
3,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03568,21,000001101110010111100
3,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.99}",2.72,2.68,0.03568,21,001001101111000001000
4,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07187,21,000101011100000111000
4,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2, 'cooling': 0.995}",2.72,2.68,0.07126,21,001001101101011101100
