config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
157,tabu_search,0,"{'numIterations': 1, 'tabuSize': 5}",1.75,1.86,0.0026,21,110111111100101100110
157,tabu_search,1,"{'numIterations': 1, 'tabuSize': 5}",1.96,2.06,0.00248,21,010011001111111100111
157,tabu_search,2,"{'numIterations': 1, 'tabuSize': 5}",1.88,1.91,0.00265,21,100110010011101110011
157,tabu_search,3,"{'numIterations': 1, 'tabuSize': 5}",1.97,1.96,0.0025,21,100011010001110111111
157,tabu_search,4,"{'numIterations': 1, 'tabuSize': 5}",2.11,2.13,0.00247,21,011010000001000100100
158,tabu_search,0,"{'numIterations': 1, 'tabuSize': 10}",2.13,2.24,0.00245,21,010001000010010011001
158,tabu_search,1,"{'numIterations': 1, 'tabuSize': 10}",2.13,2.04,0.00244,21,001011111101011011010
158,tabu_search,2,"{'numIterations': 1, 'tabuSize': 10}",1.92,2.05,0.00241,21,110101101010000010011
158,tabu_search,3,"{'numIterations': 1, 'tabuSize': 10}",2.01,1.99,0.0024,21,011100101011100010101
158,tabu_search,4,"{'numIterations': 1, 'tabuSize': 10}",2.16,2.16,0.00251,21,111110101100001001011
159,tabu_search,0,"{'numIterations': 1, 'tabuSize': 20}",2.21,2.18,0.00259,21,001100111101000010011
159,tabu_search,1,"{'numIterations': 1, 'tabuSize': 20}",2.68,2.64,0.00255,21,001000101101111111100
159,tabu_search,2,"{'numIterations': 1, 'tabuSize': 20}",2.02,1.91,0.00239,21,101110101111110000000
159,tabu_search,3,"{'numIterations': 1, 'tabuSize': 20}",2.61,2.55,0.00229,21,001001101110001100100
159,tabu_search,4,"{'numIterations': 1, 'tabuSize': 20}",1.86,1.89,0.00242,21,111010110110100101111
160,tabu_search,0,"{'numIterations': 1, 'tabuSize': 40}",1.79,1.91,0.00244,21,110111110111000101000
160,tabu_search,1,"{'numIterations': 1, 'tabuSize': 40}",2.01,2.16,0.00235,21,110111001111001010100
160,tabu_search,2,"{'numIterations': 1, 'tabuSize': 40}",2.22,2.19,0.00249,21,010110000101000011101
160,tabu_search,3,"{'numIterations': 1, 'tabuSize': 40}",2.13,2.15,0.00262,21,000110111110110001101
160,tabu_search,4,"{'numIterations': 1, 'tabuSize': 40}",2.64,2.59,0.00247,21,001001110000001011000
161,tabu_search,0,"{'numIterations': 2, 'tabuSize': 5}",2.68,2.64,0.00471,21,011000000101111011100
161,tabu_search,1,"{'numIterations': 2, 'tabuSize': 5}",2.09,2.11,0.0049,21,010010101100000100111
161,tabu_search,2,"{'numIterations': 2, 'tabuSize': 5}",2.66,2.61,0.00469,21,000001000100001011110
161,tabu_search,3,"{'numIterations': 2, 'tabuSize': 5}",2.59,2.54,0.00481,21,011100001011101100000
161,tabu_search,4,"{'numIterations': 2, 'tabuSize': 5}",2.04,2.14,0.00484,21,011001010111011110011
162,tabu_search,0,"{'numIterations': 2, 'tabuSize': 10}",2.54,2.47,0.00506,21,000000111011111011110
162,tabu_search,1,"{'numIterations': 2, 'tabuSize': 10}",2.24,2.27,0.00493,21,100011010000010110001
162,tabu_search,2,"{'numIterations': 2, 'tabuSize': 10}",2.3,2.29,0.00472,21,011111110100001000101
162,tabu_search,3,"{'numIterations': 2, 'tabuSize': 10}",2.68,2.64,0.00486,21,001000010101010001000
162,tabu_search,4,"{'numIterations': 2, 'tabuSize': 10}",2.64,2.59,0.00472,21,001100111101000111000
163,tabu_search,0,"{'numIterations': 2, 'tabuSize': 20}",2.51,2.44,0.00494,21,001100110101001010010
163,tabu_search,1,"{'numIterations': 2, 'tabuSize': 20}",2.09,2.05,0.00478,21,000111011101100000011
163,tabu_search,2,"{'numIterations': 2, 'tabuSize': 20}",2.16,2.06,0.00477,21,101011000100111000110
163,tabu_search,3,"{'numIterations': 2, 'tabuSize': 20}",2.72,2.68,0.0049,21,011101011100000000000
163,tabu_search,4,"{'numIterations': 2, 'tabuSize': 20}",2.21,2.29,0.0047,21,101010001110011110010
164,tabu_search,0,"{'numIterations': 2, 'tabuSize': 40}",2.34,2.39,0.00482,21,000011101001000110100
